,PharmGKB ID,Name,Source,Testing Level,Has Prescribing Info,Has Dosing Info,Has Alternate Drug,Prescribing,Chemicals,Genes,Variants/Haplotypes,type,drugbank_id,name,indication,atc_codes,actions,pubmed_ids,uniprot,EntryName,ProteinID,ProteinFamily,ProteinSuperFamily
16,PA166127644,Annotation of HCSC Label for capecitabine and DPYD,HCSC,Actionable PGx,,,,,capecitabine,DPYD,,small molecule,DB01101,capecitabine,"For the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen. May also be used in combination with docetaxel for the treatment of metastatic breast cancer in patients who have failed to respond to, or recurred or relasped during or following anthracycline-containing chemotherapy. Capecitabine is used alone as an adjuvant therapy following the complete resection of primary tumor in patients with stage III colon cancer when monotherapy with fluroprymidine is preferred. The use or capecitabine in combination regimens for advanced gastric cancer is currently being investigated.",['L01BC06'],inhibitor,15132128|15134221|15709193|15866500|16926630|11752352,P04818,tysy_human,tysy,Thymidylate synthase family,Thymidylate n
17,PA166104802,Annotation of FDA Label for capecitabine and DPYD,FDA,Actionable PGx,Prescribing Info,,,Prescribing,capecitabine,DPYD,,small molecule,DB01101,capecitabine,"For the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen. May also be used in combination with docetaxel for the treatment of metastatic breast cancer in patients who have failed to respond to, or recurred or relasped during or following anthracycline-containing chemotherapy. Capecitabine is used alone as an adjuvant therapy following the complete resection of primary tumor in patients with stage III colon cancer when monotherapy with fluroprymidine is preferred. The use or capecitabine in combination regimens for advanced gastric cancer is currently being investigated.",['L01BC06'],inhibitor,15132128|15134221|15709193|15866500|16926630|11752352,P04818,tysy_human,tysy,Thymidylate synthase family,Thymidylate n
18,PA166104905,Annotation of EMA Label for capecitabine and DPYD,EMA,Testing recommended,Prescribing Info,,Alternate Drug,Prescribing,capecitabine,DPYD,,small molecule,DB01101,capecitabine,"For the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen. May also be used in combination with docetaxel for the treatment of metastatic breast cancer in patients who have failed to respond to, or recurred or relasped during or following anthracycline-containing chemotherapy. Capecitabine is used alone as an adjuvant therapy following the complete resection of primary tumor in patients with stage III colon cancer when monotherapy with fluroprymidine is preferred. The use or capecitabine in combination regimens for advanced gastric cancer is currently being investigated.",['L01BC06'],inhibitor,15132128|15134221|15709193|15866500|16926630|11752352,P04818,tysy_human,tysy,Thymidylate synthase family,Thymidylate n
19,PA166123531,Annotation of PMDA Label for capecitabine and DPYD,PMDA,Actionable PGx,,,,,capecitabine,DPYD,,small molecule,DB01101,capecitabine,"For the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen. May also be used in combination with docetaxel for the treatment of metastatic breast cancer in patients who have failed to respond to, or recurred or relasped during or following anthracycline-containing chemotherapy. Capecitabine is used alone as an adjuvant therapy following the complete resection of primary tumor in patients with stage III colon cancer when monotherapy with fluroprymidine is preferred. The use or capecitabine in combination regimens for advanced gastric cancer is currently being investigated.",['L01BC06'],inhibitor,15132128|15134221|15709193|15866500|16926630|11752352,P04818,tysy_human,tysy,Thymidylate synthase family,Thymidylate n
20,PA166184116,Annotation of Swissmedic Label for carbamazepine and HLA-B,Swissmedic,Testing required,Prescribing Info,,Alternate Drug,Prescribing,carbamazepine,HLA-B,HLA-B*15:02:01,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],,12110613|20561518|15309115,P43681,acha4_human,acha4,"Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-4/CHRNA4 sub-subfamily",Ligand-gated ion channel (TC 1.A.9) family
21,PA166184116,Annotation of Swissmedic Label for carbamazepine and HLA-B,Swissmedic,Testing required,Prescribing Info,,Alternate Drug,Prescribing,carbamazepine,HLA-B,HLA-B*15:02:01,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],activator,14977870,O75469,nr1i2_human,nr1i2,"Nuclear hormone receptor family, NR1 subfamily","Nuclear hormone receptor family, NR subfamily"
22,PA166104780,Annotation of FDA Label for carbamazepine and HLA-B,FDA,Testing required,Prescribing Info,,Alternate Drug,Prescribing,carbamazepine,HLA-B,,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],,12110613|20561518|15309115,P43681,acha4_human,acha4,"Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-4/CHRNA4 sub-subfamily",Ligand-gated ion channel (TC 1.A.9) family
23,PA166104780,Annotation of FDA Label for carbamazepine and HLA-B,FDA,Testing required,Prescribing Info,,Alternate Drug,Prescribing,carbamazepine,HLA-B,,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],activator,14977870,O75469,nr1i2_human,nr1i2,"Nuclear hormone receptor family, NR1 subfamily","Nuclear hormone receptor family, NR subfamily"
24,PA166151882,Annotation of FDA Label for carbamazepine and HLA-A,FDA,Actionable PGx,,,,,carbamazepine,HLA-A,,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],,12110613|20561518|15309115,P43681,acha4_human,acha4,"Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-4/CHRNA4 sub-subfamily",Ligand-gated ion channel (TC 1.A.9) family
25,PA166151882,Annotation of FDA Label for carbamazepine and HLA-A,FDA,Actionable PGx,,,,,carbamazepine,HLA-A,,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],activator,14977870,O75469,nr1i2_human,nr1i2,"Nuclear hormone receptor family, NR1 subfamily","Nuclear hormone receptor family, NR subfamily"
26,PA166184115,Annotation of Swissmedic Label for carbamazepine and HLA-A,Swissmedic,Testing recommended,Prescribing Info,,Alternate Drug,Prescribing,carbamazepine,HLA-A,HLA-A*31:01:02,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],,12110613|20561518|15309115,P43681,acha4_human,acha4,"Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-4/CHRNA4 sub-subfamily",Ligand-gated ion channel (TC 1.A.9) family
27,PA166184115,Annotation of Swissmedic Label for carbamazepine and HLA-A,Swissmedic,Testing recommended,Prescribing Info,,Alternate Drug,Prescribing,carbamazepine,HLA-A,HLA-A*31:01:02,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],activator,14977870,O75469,nr1i2_human,nr1i2,"Nuclear hormone receptor family, NR1 subfamily","Nuclear hormone receptor family, NR subfamily"
28,PA166127645,"Annotation of HCSC Label for carbamazepine and HLA-A, HLA-B",HCSC,Testing recommended,,,,,carbamazepine,HLA-A; HLA-B,,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],,12110613|20561518|15309115,P43681,acha4_human,acha4,"Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-4/CHRNA4 sub-subfamily",Ligand-gated ion channel (TC 1.A.9) family
29,PA166127645,"Annotation of HCSC Label for carbamazepine and HLA-A, HLA-B",HCSC,Testing recommended,,,,,carbamazepine,HLA-A; HLA-B,,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],activator,14977870,O75469,nr1i2_human,nr1i2,"Nuclear hormone receptor family, NR1 subfamily","Nuclear hormone receptor family, NR subfamily"
30,PA166123532,"Annotation of PMDA Label for carbamazepine and HLA-A, HLA-B",PMDA,Actionable PGx,,,,,carbamazepine,HLA-A; HLA-B,,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],,12110613|20561518|15309115,P43681,acha4_human,acha4,"Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-4/CHRNA4 sub-subfamily",Ligand-gated ion channel (TC 1.A.9) family
31,PA166123532,"Annotation of PMDA Label for carbamazepine and HLA-A, HLA-B",PMDA,Actionable PGx,,,,,carbamazepine,HLA-A; HLA-B,,small molecule,DB00564,carbamazepine,"Carbamazepine is indicated for the treatment of epilepsy and pain associated with true trigeminal neuralgia.[L1335] In particular, carbamazepine has shown efficacy in treating mixed seizures, partial seizures with complex symptoms, and generalized tonic-clonic seizures.[A180301,L1335] Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder.[L1335] Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.[A180415,A180421]",['N03AF01'],activator,14977870,O75469,nr1i2_human,nr1i2,"Nuclear hormone receptor family, NR1 subfamily","Nuclear hormone receptor family, NR subfamily"
32,PA166184122,Annotation of Swissmedic Label for ciprofloxacin and G6PD,Swissmedic,Actionable PGx,,,,,ciprofloxacin,G6PD,,small molecule,DB00537,ciprofloxacin,"Ciprofloxacin is only indicated in infections caused by susceptible bacteria.[L6469,L6472,L6475,L6478,L6481,L6484,L6487,L6490,L6493]

Ciprofloxacin immediate release tablets, oral suspensions, and intravenous injections are indicated for the treatment of skin and skin structure infections, bone and joint infections, complicated intra-abdominal infections, nosocomial pneumonia, febrile neutropenia, adults who have inhaled anthrax, plague, chronic bacterial prostatitis, lower respiratory tract infections including acute exacerbations of chronic bronchitis, urinary tract infections, complicated urinary tract infections in pediatrics, complicated pyelonephritis in pediatrics, and acute sinusitis.[L6481,L6478]

A ciprofloxacin otic solution and otic suspension with hydrocortisone are indicated for acute otitis externa.[L6469,L6484] Ciprofloxacin suspension with dexamethasone is indicated for acute otitis media in pediatric patients with tympanostomy tubes or acute otitis externa.[L6490] A ciprofloxacin intratympanic injection is indicated for pediatric patients with bilateral otitis media with effusion who are having tympanostomy tubes placed or pediatric patients 6 months or older with acute otitis externa.[L6493]

A ciprofloxacin eye drop is indicated for bacterial corneal ulcers and conjunctivitis.[L6472] A ciprofloxacin eye ointment is indicated for bacterial conjunctivitis.[L6475]

A ciprofloxacin extended release tablet is indicated for uncomplicated urinary tract infections, complicated urinary tract infections, and acute uncomplicated pyelonephritis.[L6487]","['J01RA11', 'S03AA07', 'J01MA02', 'S02AA15', 'J01RA10', 'J01RA12', 'S01AE03']",inhibitor,17139284|17016423|12473806|16034208|16517894|9293187,P43702,,,,
33,PA166184122,Annotation of Swissmedic Label for ciprofloxacin and G6PD,Swissmedic,Actionable PGx,,,,,ciprofloxacin,G6PD,,small molecule,DB00537,ciprofloxacin,"Ciprofloxacin is only indicated in infections caused by susceptible bacteria.[L6469,L6472,L6475,L6478,L6481,L6484,L6487,L6490,L6493]

Ciprofloxacin immediate release tablets, oral suspensions, and intravenous injections are indicated for the treatment of skin and skin structure infections, bone and joint infections, complicated intra-abdominal infections, nosocomial pneumonia, febrile neutropenia, adults who have inhaled anthrax, plague, chronic bacterial prostatitis, lower respiratory tract infections including acute exacerbations of chronic bronchitis, urinary tract infections, complicated urinary tract infections in pediatrics, complicated pyelonephritis in pediatrics, and acute sinusitis.[L6481,L6478]

A ciprofloxacin otic solution and otic suspension with hydrocortisone are indicated for acute otitis externa.[L6469,L6484] Ciprofloxacin suspension with dexamethasone is indicated for acute otitis media in pediatric patients with tympanostomy tubes or acute otitis externa.[L6490] A ciprofloxacin intratympanic injection is indicated for pediatric patients with bilateral otitis media with effusion who are having tympanostomy tubes placed or pediatric patients 6 months or older with acute otitis externa.[L6493]

A ciprofloxacin eye drop is indicated for bacterial corneal ulcers and conjunctivitis.[L6472] A ciprofloxacin eye ointment is indicated for bacterial conjunctivitis.[L6475]

A ciprofloxacin extended release tablet is indicated for uncomplicated urinary tract infections, complicated urinary tract infections, and acute uncomplicated pyelonephritis.[L6487]","['J01RA11', 'S03AA07', 'J01MA02', 'S02AA15', 'J01RA10', 'J01RA12', 'S01AE03']",inhibitor,17139284|17016423|12473806|17378897|9056011,P43700,,,,
34,PA166184122,Annotation of Swissmedic Label for ciprofloxacin and G6PD,Swissmedic,Actionable PGx,,,,,ciprofloxacin,G6PD,,small molecule,DB00537,ciprofloxacin,"Ciprofloxacin is only indicated in infections caused by susceptible bacteria.[L6469,L6472,L6475,L6478,L6481,L6484,L6487,L6490,L6493]

Ciprofloxacin immediate release tablets, oral suspensions, and intravenous injections are indicated for the treatment of skin and skin structure infections, bone and joint infections, complicated intra-abdominal infections, nosocomial pneumonia, febrile neutropenia, adults who have inhaled anthrax, plague, chronic bacterial prostatitis, lower respiratory tract infections including acute exacerbations of chronic bronchitis, urinary tract infections, complicated urinary tract infections in pediatrics, complicated pyelonephritis in pediatrics, and acute sinusitis.[L6481,L6478]

A ciprofloxacin otic solution and otic suspension with hydrocortisone are indicated for acute otitis externa.[L6469,L6484] Ciprofloxacin suspension with dexamethasone is indicated for acute otitis media in pediatric patients with tympanostomy tubes or acute otitis externa.[L6490] A ciprofloxacin intratympanic injection is indicated for pediatric patients with bilateral otitis media with effusion who are having tympanostomy tubes placed or pediatric patients 6 months or older with acute otitis externa.[L6493]

A ciprofloxacin eye drop is indicated for bacterial corneal ulcers and conjunctivitis.[L6472] A ciprofloxacin eye ointment is indicated for bacterial conjunctivitis.[L6475]

A ciprofloxacin extended release tablet is indicated for uncomplicated urinary tract infections, complicated urinary tract infections, and acute uncomplicated pyelonephritis.[L6487]","['J01RA11', 'S03AA07', 'J01MA02', 'S02AA15', 'J01RA10', 'J01RA12', 'S01AE03']",inhibitor,11752352|1323952|3015015,P11388,top2a_human,top2a,Type II topoisomerase family,Type II
35,PA166184122,Annotation of Swissmedic Label for ciprofloxacin and G6PD,Swissmedic,Actionable PGx,,,,,ciprofloxacin,G6PD,,small molecule,DB00537,ciprofloxacin,"Ciprofloxacin is only indicated in infections caused by susceptible bacteria.[L6469,L6472,L6475,L6478,L6481,L6484,L6487,L6490,L6493]

Ciprofloxacin immediate release tablets, oral suspensions, and intravenous injections are indicated for the treatment of skin and skin structure infections, bone and joint infections, complicated intra-abdominal infections, nosocomial pneumonia, febrile neutropenia, adults who have inhaled anthrax, plague, chronic bacterial prostatitis, lower respiratory tract infections including acute exacerbations of chronic bronchitis, urinary tract infections, complicated urinary tract infections in pediatrics, complicated pyelonephritis in pediatrics, and acute sinusitis.[L6481,L6478]

A ciprofloxacin otic solution and otic suspension with hydrocortisone are indicated for acute otitis externa.[L6469,L6484] Ciprofloxacin suspension with dexamethasone is indicated for acute otitis media in pediatric patients with tympanostomy tubes or acute otitis externa.[L6490] A ciprofloxacin intratympanic injection is indicated for pediatric patients with bilateral otitis media with effusion who are having tympanostomy tubes placed or pediatric patients 6 months or older with acute otitis externa.[L6493]

A ciprofloxacin eye drop is indicated for bacterial corneal ulcers and conjunctivitis.[L6472] A ciprofloxacin eye ointment is indicated for bacterial conjunctivitis.[L6475]

A ciprofloxacin extended release tablet is indicated for uncomplicated urinary tract infections, complicated urinary tract infections, and acute uncomplicated pyelonephritis.[L6487]","['J01RA11', 'S03AA07', 'J01MA02', 'S02AA15', 'J01RA10', 'J01RA12', 'S01AE03']",,12873512,Q12809,kcnh2_human,kcnh2,"Potassium channel family, H (Eag) (TC 1.A.1.20) subfamily, Kv11.1/KCNH2 sub-subfamily",Potassium channel
